enrollee_id,city,city_dev_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,looking_for_job_change,split,experience_numeric,last_new_job_numeric,job_change_label
29290,city_152,0.698,Male,No,Full time course,Masters,STEM,11,Unknown,Public Sector,2,42,0,train,11,2,Not Looking
32401,city_103,0.92,Female,Yes,no_enrollment,Graduate,STEM,6,100-500,Unknown,1,332,0,train,6,1,Not Looking
19128,city_61,0.913,Male,No,Full time course,Graduate,STEM,4,Unknown,Unknown,Unknown,140,0,train,4,NA,Not Looking
29036,city_16,0.91,Male,No,no_enrollment,High School,Unknown,3,Unknown,Unknown,never,182,0,train,3,0,Not Looking
16869,city_103,0.92,Female,No,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1,train,3,1,Looking
10497,city_19,0.682,Unknown,Yes,no_enrollment,Graduate,STEM,5,NA,Pvt Ltd,2,172,1,train,5,2,Looking
18099,city_103,0.92,Unknown,Yes,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0,train,10,1,Not Looking
12081,city_65,0.802,Male,Yes,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0,train,9,1,Not Looking
7364,city_160,0.92,Unknown,No,Full time course,High School,Unknown,2,100-500,Pvt Ltd,1,142,0,train,2,1,Not Looking
11184,city_74,0.579,Unknown,No,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0,train,2,1,Not Looking
7016,city_65,0.802,Male,Yes,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1,train,6,2,Looking
8695,city_11,0.55,Male,Yes,no_enrollment,Graduate,STEM,6,NA,Pvt Ltd,2,27,1,train,6,2,Looking
6172,city_11,0.55,Male,Yes,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1,train,8,1,Looking
14672,city_173,0.878,Unknown,No,no_enrollment,Masters,STEM,>20,Unknown,Unknown,1,150,0,train,21,1,Not Looking
18257,city_103,0.92,Female,Yes,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0,train,11,5,Not Looking
24493,city_103,0.92,Unknown,Yes,no_enrollment,Graduate,STEM,5,500-999,Unknown,1,140,0,train,5,1,Not Looking
1180,city_16,0.91,Male,Yes,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0,train,12,1,Not Looking
28627,city_75,0.939,Male,Yes,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0,train,21,2,Not Looking
8168,city_136,0.897,Male,Yes,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0,train,9,2,Not Looking
10473,city_21,0.624,Male,Yes,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1,train,2,2,Looking
25349,city_16,0.91,Male,Yes,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0,train,21,5,Not Looking
5220,city_73,0.754,Male,Yes,no_enrollment,Graduate,Other,>20,Unknown,Unknown,4,46,0,train,21,4,Not Looking
4789,city_67,0.855,Male,Yes,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0,train,8,1,Not Looking
11338,city_114,0.926,Male,Yes,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0,train,10,1,Not Looking
27963,city_98,0.949,Male,No,Full time course,Graduate,STEM,4,Unknown,Unknown,1,160,1,train,4,1,Looking
8571,city_21,0.624,Male,Yes,Full time course,Graduate,STEM,2,NA,NGO,2,101,0,train,2,2,Not Looking
16303,city_114,0.926,Male,Yes,no_enrollment,Masters,STEM,6,50-99,Unknown,1,46,0,train,6,1,Not Looking
20576,city_97,0.925,Male,Yes,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0,train,21,5,Not Looking
32966,city_21,0.624,Male,Yes,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1,train,3,2,Looking
21199,city_90,0.698,Unknown,Yes,Full time course,Graduate,STEM,7,<10,NGO,1,90,0,train,7,1,Not Looking
18819,city_50,0.8959999999999999,Male,Yes,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0,train,9,4,Not Looking
14199,city_160,0.92,Male,Yes,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0,train,10,1,Not Looking
7666,city_21,0.624,Female,Yes,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0,train,11,5,Not Looking
13915,city_16,0.91,Male,Yes,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1,train,21,2,Looking
10555,city_173,0.878,Male,Yes,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0,train,12,2,Not Looking
16040,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0,train,6,1,Not Looking
32826,city_138,0.836,Male,Yes,Full time course,Masters,STEM,7,Unknown,Unknown,1,45,0,train,7,1,Not Looking
13253,city_82,0.693,Male,Yes,Full time course,Graduate,STEM,11,NA,Pvt Ltd,2,109,0,train,11,2,Not Looking
15637,city_67,0.855,Male,Yes,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0,train,3,1,Not Looking
28074,city_103,0.92,Female,Yes,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0,train,21,5,Not Looking
23012,city_103,0.92,Female,No,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0,train,15,1,Not Looking
16110,city_103,0.92,Female,Yes,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1,train,6,3,Looking
3921,city_36,0.893,Unknown,No,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0,train,21,5,Not Looking
24530,city_114,0.926,Male,No,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0,train,12,5,Not Looking
1924,city_102,0.804,Unknown,Yes,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0,train,21,3,Not Looking
32776,city_64,0.6659999999999999,Male,Yes,no_enrollment,Graduate,STEM,20,Unknown,Unknown,4,290,0,train,20,4,Not Looking
1907,city_102,0.804,Male,No,no_enrollment,High School,Unknown,2,<10,NGO,never,145,0,train,2,0,Not Looking
23947,city_103,0.92,Unknown,No,no_enrollment,Phd,STEM,Unknown,Unknown,Unknown,Unknown,70,0,train,NA,NA,Not Looking
3116,city_21,0.624,Male,No,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,1,24,0,train,3,1,Not Looking
24829,city_103,0.92,Male,No,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1,train,3,1,Looking
30488,city_11,0.55,Unknown,No,Full time course,Graduate,STEM,2,Unknown,Unknown,1,20,0,train,2,1,Not Looking
1265,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0,train,10,1,Not Looking
22098,city_90,0.698,Female,No,Full time course,Masters,STEM,5,Unknown,Unknown,4,21,1,train,5,4,Looking
13342,city_21,0.624,Female,Yes,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0,train,8,2,Not Looking
24608,city_160,0.92,Male,No,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0,train,9,2,Not Looking
20081,city_57,0.866,Male,No,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,>4,156,0,train,21,5,Not Looking
24796,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0,train,21,5,Not Looking
7777,city_114,0.926,Unknown,Yes,no_enrollment,Masters,STEM,>20,Unknown,Unknown,never,120,0,train,21,0,Not Looking
22718,city_157,0.769,Unknown,Yes,no_enrollment,Graduate,No Major,14,10000+,Unknown,>4,47,0,train,14,5,Not Looking
1261,city_73,0.754,Male,Yes,no_enrollment,Graduate,STEM,12,Unknown,Unknown,2,100,1,train,12,2,Looking
3396,city_67,0.855,Male,Yes,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0,train,6,0,Not Looking
4283,city_103,0.92,Male,No,no_enrollment,High School,Unknown,4,Unknown,Unknown,never,52,0,train,4,0,Not Looking
18998,city_114,0.926,Unknown,Yes,no_enrollment,High School,Unknown,9,NA,Unknown,4,39,0,train,9,4,Not Looking
2003,city_103,0.92,Male,Yes,Full time course,High School,Unknown,4,Unknown,Unknown,1,112,1,train,4,1,Looking
31786,city_103,0.92,Male,No,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0,train,21,5,Not Looking
8241,city_16,0.91,Unknown,Yes,no_enrollment,Unknown,Unknown,11,Unknown,Unknown,1,4,0,train,11,1,Not Looking
12154,city_16,0.91,Unknown,Yes,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0,train,21,5,Not Looking
23455,city_21,0.624,Male,Yes,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1,train,6,4,Looking
19882,city_16,0.91,Male,Yes,no_enrollment,Graduate,STEM,15,Unknown,Unknown,>4,72,0,train,15,5,Not Looking
28817,city_89,0.925,Male,Yes,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1,train,14,3,Looking
4656,city_114,0.926,Male,No,no_enrollment,High School,Unknown,6,Unknown,Pvt Ltd,never,28,0,train,6,0,Not Looking
7280,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0,train,13,1,Not Looking
16903,city_103,0.92,Male,Yes,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0,train,17,1,Not Looking
13333,city_75,0.939,Unknown,Yes,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,never,326,0,train,21,0,Not Looking
26241,city_103,0.92,Male,Yes,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0,train,21,2,Not Looking
12381,city_102,0.804,Unknown,No,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0,train,6,5,Not Looking
4064,city_160,0.92,Unknown,Yes,no_enrollment,Graduate,STEM,18,Unknown,Unknown,1,198,1,train,18,1,Looking
32092,city_103,0.92,Female,Yes,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0,train,15,5,Not Looking
3766,city_150,0.698,Male,No,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0,train,21,5,Not Looking
30496,city_103,0.92,Male,Yes,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0,train,21,5,Not Looking
7189,city_73,0.754,Male,Yes,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0,train,21,1,Not Looking
29497,city_103,0.92,Male,Yes,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1,train,21,5,Looking
31593,city_67,0.855,Male,Yes,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0,train,10,4,Not Looking
12384,city_70,0.698,Unknown,Yes,Unknown,Unknown,Unknown,>20,Unknown,Unknown,>4,33,0,train,21,5,Not Looking
11986,city_90,0.698,Male,Yes,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0,train,5,1,Not Looking
31033,city_16,0.91,Unknown,No,Full time course,High School,Unknown,3,Unknown,Unknown,1,8,0,train,3,1,Not Looking
14835,city_173,0.878,Female,Yes,Part time course,High School,Unknown,2,100-500,NGO,1,22,0,train,2,1,Not Looking
3728,city_103,0.92,Male,Yes,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0,train,21,4,Not Looking
3024,city_98,0.949,Male,Yes,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0,train,21,1,Not Looking
23508,city_103,0.92,Male,Yes,no_enrollment,Masters,STEM,9,NA,Pvt Ltd,1,22,0,train,9,1,Not Looking
29457,city_103,0.92,Male,Yes,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0,train,21,1,Not Looking
12297,city_175,0.7759999999999999,Unknown,Yes,Full time course,Graduate,STEM,4,NA,Funded Startup,1,11,0,train,4,1,Not Looking
27708,city_94,0.698,Male,No,Full time course,Graduate,STEM,5,5000-9999,Unknown,Unknown,24,1,train,5,NA,Looking
3065,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0,train,21,1,Not Looking
29226,city_104,0.924,Male,No,Full time course,High School,Unknown,6,Unknown,Unknown,never,15,0,train,6,0,Not Looking
5493,city_28,0.939,Male,Yes,no_enrollment,Masters,STEM,>20,NA,Pvt Ltd,>4,31,0,train,21,5,Not Looking
2891,city_114,0.926,Male,Yes,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0,train,21,0,Not Looking
32509,city_136,0.897,Male,Yes,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0,train,4,1,Not Looking
31841,city_21,0.624,Unknown,Yes,no_enrollment,Graduate,STEM,10,NA,Pvt Ltd,>4,105,1,train,10,5,Looking
907,city_103,0.92,Female,Yes,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0,train,21,5,Not Looking
29526,city_115,0.789,Male,Yes,no_enrollment,Graduate,STEM,14,NA,Pvt Ltd,>4,42,1,train,14,5,Looking
10956,city_94,0.698,Male,Yes,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0,train,15,1,Not Looking
26099,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0,train,12,1,Not Looking
26163,city_21,0.624,Male,No,Full time course,Masters,STEM,2,Unknown,Unknown,never,8,0,train,2,0,Not Looking
4120,city_16,0.91,Male,No,Full time course,Masters,STEM,13,Unknown,Unknown,3,17,1,train,13,3,Looking
7335,city_83,0.923,Male,No,no_enrollment,High School,Unknown,1,Unknown,Unknown,1,33,0,train,1,1,Not Looking
706,city_16,0.91,Male,Yes,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0,train,4,0,Not Looking
9890,city_103,0.92,Male,Yes,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0,train,14,2,Not Looking
32683,city_160,0.92,Male,Yes,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0,train,15,1,Not Looking
27104,city_36,0.893,Male,Yes,no_enrollment,High School,Unknown,>20,Unknown,Unknown,never,87,0,train,21,0,Not Looking
7731,city_65,0.802,Male,Yes,no_enrollment,Graduate,STEM,13,Unknown,Unknown,never,84,0,train,13,0,Not Looking
31943,city_71,0.884,Male,Yes,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0,train,21,2,Not Looking
22899,city_100,0.887,Unknown,Yes,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1,train,9,1,Looking
33339,city_21,0.624,Male,No,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0,train,2,1,Not Looking
20866,city_59,0.775,Unknown,Yes,no_enrollment,Graduate,STEM,7,NA,Pvt Ltd,1,12,0,train,7,1,Not Looking
21634,city_21,0.624,Unknown,Yes,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0,train,5,1,Not Looking
29529,city_165,0.903,Male,Yes,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1,train,3,1,Looking
4478,city_11,0.55,Unknown,Yes,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,Unknown,7,1,train,5,NA,Looking
32095,city_103,0.92,Male,Yes,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0,train,2,1,Not Looking
18272,city_160,0.92,Unknown,Yes,Full time course,Graduate,Business Degree,>20,Unknown,Unknown,>4,90,1,train,21,5,Looking
30098,city_103,0.92,Male,Yes,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0,train,21,5,Not Looking
23825,city_21,0.624,Male,No,Full time course,Graduate,STEM,2,Unknown,Unknown,never,102,0,train,2,0,Not Looking
7672,city_21,0.624,Unknown,Yes,no_enrollment,Masters,STEM,<1,NA,Pvt Ltd,1,202,1,train,0.5,1,Looking
